,SLC5A9,EPHA10,B3GNT5,AHRR,PRSS21,PKIB,TNNC2,S100P,PI15,RHPN1,ZNF512B,GABBR2,C14orf72,UGT2B7,CHRNA9,SERPIND1,CDC42EP1,MAPK15,IGSF9B,PRAME,PSCA,ENTPD2,BMS1P2,WFDC13,B4GALT6,C17orf107,LINC00896,PRR22,B3GAT1,FLJ44635,CLDN18,MTSS1,KNDC1,HS3ST5,WDR69,TPSB2,NEIL3,NTRK1,OR7A5,HSFX2,ACHE,MIB2,SLC1A7,DBH,INSL4,KCNK5,RRM2,PPAN-P2RY11,LOC284798,TMEM213,WDR87,SQRDL,MAGED4B,RASSF10,YEATS4,CALML5,HHATL,SPDYE2,SEC14L4,OPN3,NR0B1,C19orf57,LOC283174,MCF2L2,USH1G,CYP1A1,APOBEC1,CCL20,SPTBN5,EEF1DP3,HAPLN1
TCGA-05-4420,1.4857776396048408,4.595932651035556,6.94385574460686,3.9101973399145735,5.109617511589186,3.8448869803629235,3.2054055061202105,7.716821536884781,6.466339106588314,6.614642486830369,6.436251324811616,2.1547345257152672,2.3971768329640843,1.3590516247260163,3.756750696810428,4.955411478302398,6.731297297779738,4.515845954593362,0.23348984336835407,8.338901105389782,4.196819919811243,4.29829577997302,4.369568098401746,0.7187174566714754,5.426710581316436,4.746027180748387,3.72555606840577,3.6115717528981452,1.98935270689815,4.888377260555904,2.3971768329640843,5.527808727818381,4.5100789822067675,0.4225843999155529,1.2890948977427583,4.294714757993288,4.622125626637505,2.4439110290844805,0.4225843999155529,2.466488064263982,3.9514821516924554,6.448185032218175,2.3227111973776355,0.7187174566714754,4.139848379884505,7.359849487684305,8.270018183899595,0.0,0.0,2.3227111973776355,0.23348984336835407,7.518846059082784,4.385809470719102,3.3445141490233823,6.429695284198082,0.23348984336835407,1.7911092578864687,0.9468975284670554,5.952318231187158,7.099424674936562,0.0,3.7988498280291614,0.5816009058150329,3.0190336749562565,3.257338558519894,0.8393232907175466,0.23348984336835407,6.125162488362512,4.500782530281857,0.9468975284670554,5.380565333157369
TCGA-05-4424,3.6169805785700726,4.407080157737989,7.470793774195062,3.6790361675313257,5.587128801030376,4.013450798058259,2.8991773193393553,7.66306002344924,3.152834308131742,5.7033023594193235,7.111006278957122,6.801280809775042,1.9050435106813932,1.2188220071761418,4.908336752474249,3.9960736704992192,6.801280809775042,1.8314768538914141,2.2086040295231517,7.61088744326018,7.0443644304441255,3.403704236873336,3.135989745308098,0.0,4.096074731282699,5.252870108636099,0.38974214764292814,2.6296849745590385,5.715938292426213,2.2596358374576164,7.502848519066694,6.87090144256489,5.061429797441567,1.350641276405403,2.2596358374576164,6.318717631928032,2.9990168733452074,1.5713621435818705,2.727807075717765,2.558474595201145,6.275712605075477,5.287529384963432,4.8503648153297085,1.350641276405403,0.669520249928789,6.383572511092499,6.949348176280474,0.0,2.6634711577042425,3.2498123184337846,3.089787120302832,6.882705127482347,3.982395724487418,3.855124557794055,5.85492864546316,8.33823158366629,0.0,0.0,4.776860430113385,6.080196318370362,0.0,2.6296849745590385,2.727807075717765,2.562893399273321,3.354992871805635,0.0,0.669520249928789,6.102869508243597,3.6669303247295897,0.6220270480568197,2.520876893577231
TCGA-05-4427,1.2592277410355326,6.0587539685473795,7.825856371164741,3.2858463861970546,2.841724083574572,3.322900648886979,7.847774256154945,1.7992976522663433,4.853154631581327,5.783563609661051,6.911787140095508,2.8118575111604813,1.5111192115653203,0.0,0.9217159885192197,3.7101197729264115,8.172410115241222,3.781595362613678,1.8794497823550436,0.40846061708796283,0.6976868606019772,1.616671685495979,3.2120324623861927,2.6825682770875185,2.5340459593482922,4.4840562339841465,1.2592277410355326,1.5111192115653203,1.8794497823550436,2.4931971881057344,5.058841160612929,5.3679413721612725,3.2858463861970546,0.9217159885192197,2.7810651952206107,5.179471891702962,3.9791637628101713,0.6976868606019772,0.0,3.34092353165143,3.3045432992250827,5.592504485234337,5.996725683029453,1.2592277410355326,0.0,7.692209181647837,7.09242407884444,0.0,0.9217159885192197,1.7992976522663433,0.6976868606019772,7.194421835972593,6.913707529141469,0.9217159885192197,5.3679413721612725,0.0,1.7992976522663433,0.0,4.788091562854014,6.240920861274689,0.0,2.953007428093994,2.573299017215672,2.716487837254318,0.40846061708796283,0.40846061708796283,0.0,6.185928749348318,3.3760265714201765,1.2578073669543415,1.7121569424384746
TCGA-05-4432,3.4338936517221264,4.759280865015328,7.0830941803482075,4.878032993541522,3.853321283653854,3.912696778392155,3.7836576742709953,8.5733580006835,4.174884069547175,5.1887926370186,7.343393887097849,2.3253148047446923,2.4816095536687053,1.1049256507247018,4.428200283512539,3.5887524419769314,6.726575070602209,3.193069692544781,2.8421322754070735,7.955632012434126,3.496998350100942,3.1569067997464897,3.818716217493529,0.45546089442940413,4.676858089278874,5.042779747422823,0.8928992724167844,2.4816095536687053,2.637591970786955,2.5514587672790374,7.123189187226294,7.021958581699801,3.815926116249136,4.548098121361119,3.9522585880425436,5.560735475719722,3.7503155113334836,1.9540342022456296,1.004521365268514,2.8913490579606242,6.328424164939675,6.597207091543877,2.7273232764457953,1.5580604039743287,2.5514587672790374,6.285293936032941,7.140706576727413,0.0,1.9540342022456296,1.5580604039743287,1.4954177881382447,6.974001715801042,6.440025861754748,4.435062534841641,6.200647095565563,1.6726943620691153,0.2534011384749067,1.5580604039743287,3.815926116249136,7.0184734169163985,0.76718729326841,4.802823606779028,3.47044044407097,3.254818092865172,1.9540342022456296,1.1961926170069737,0.2534011384749067,7.994615447883229,3.010290782308413,0.45546089442940413,4.134148438635963
TCGA-05-5425,4.986083004993416,3.893388455663707,6.857751678897037,4.1008086250791,6.350594225718788,6.002110180736597,2.052494201600793,9.684286220454542,5.4359335301247755,5.453036456228373,5.43750958144192,1.1824631208380536,2.856625366596283,4.5163138353535235,0.44826913709972943,4.062625110791654,7.063895407115549,2.36230577696998,0.0,5.857881724589537,4.888746340684376,3.253737049244029,3.959173731214478,0.992065884937714,3.296507011776853,4.852756562600863,1.3423685965514858,3.6895567247144174,2.36230577696998,4.884482328095674,7.020378358264893,5.448180295667832,5.992266725277025,0.44826913709972943,1.1824631208380536,5.578124764979788,3.5854032730930605,2.1881389836012266,0.44826913709972943,2.1226087839554295,6.133055251061486,5.514122054158539,1.8955337274445094,1.7092651476925063,6.640798284055466,6.759092844480235,7.57360320260426,0.0,2.249627256129268,2.052494201600793,0.0,7.766726172223357,4.732252075205875,4.445893055002296,6.204109177120796,0.0,0.0,0.0,2.5984882792923987,7.90286458496859,0.0,2.5105906407191307,1.4801716967112342,2.756554610161825,0.0,0.44826913709972943,0.0,5.588756883752254,3.296507011776853,0.0,2.1881389836012266
TCGA-05-5428,2.076462107570836,4.784119396141188,6.86171134048073,4.600553545684694,1.0094531523482915,6.32006840910033,7.8797644996126355,10.091646206947377,4.195730188463639,6.398521720540653,6.151868491600917,3.0472187992711657,3.0877962811469324,0.0,1.285396097014798,2.6447837594172747,7.134181436643999,3.817129738703484,2.076462107570836,4.208778291504953,2.274216482193589,1.285396097014798,3.436725387721301,2.360127322056396,2.76155937195447,4.448206386380447,2.866113217749384,1.9606861584467294,6.039239910827284,6.65669824614361,5.261891942930184,5.553924235775407,1.9606861584467294,0.6270073780554003,2.76155937195447,8.036967898509916,6.432755188185579,2.580852990835209,0.0,1.501429449612092,2.580852990835209,5.547148157598222,8.569409859363178,1.0094531523482915,0.0,6.924523896557374,7.521837606945728,0.0,2.6447837594172747,5.919447464443613,3.0049248916727813,7.719445206544708,5.80101807238048,2.180225350172635,6.556573789781222,0.0,0.0,0.0,3.604225296697985,7.936077426501325,6.774961899673066,3.7163341024278935,3.0049248916727813,1.0094531523482915,1.501429449612092,2.76155937195447,0.0,4.945385408888138,4.182511105083983,3.03848520261964,5.547148157598222
TCGA-38-4625,1.9335194142658867,5.5971507810235215,6.9334815035530175,2.7500746723574423,2.118890594146327,3.993130991644805,0.24810929733195775,3.7602694502006093,5.772913558813563,6.306070886497623,6.500170425800993,1.9335194142658867,1.5392085625369787,0.24810929733195775,0.6123708705326575,4.45815515343348,8.876122791706013,4.424990334105997,0.989429663230897,0.6123708705326575,1.803193846853718,5.188837265929216,4.3302332152446485,0.6123708705326575,6.017970149385246,3.771675291522339,1.8919365741937266,4.858656698030617,1.2625718466288718,4.344258565921647,6.654143499523976,5.630021109094141,5.329302335795804,0.8788380548235037,3.720143112940881,6.716740041419449,6.162025552253977,2.5067007568236703,0.0,2.6945528536835557,3.2275778521621015,5.5971507810235215,2.3847547678375594,1.2625718466288718,0.44673500230638125,6.374598834731133,7.76285547894294,4.238188018946299,0.24810929733195775,2.5945753717833577,0.24810929733195775,8.229159056997915,3.930057403661677,5.120577298687676,6.320867210221546,0.0,0.0,0.24810929733195775,4.505926480003358,7.2780974001109655,0.0,4.642350357112375,1.5392085625369787,2.088661407788779,0.24810929733195775,0.8788380548235037,0.0,4.533531316935111,2.8841412775899706,0.6123708705326575,3.557485774950961
TCGA-38-4626,4.254947240215485,5.201437455359801,6.92483852583819,4.428441360675106,2.2375771283517794,4.008592392098634,2.8100049236252036,4.798720134455222,6.662948771031668,5.535261253668616,6.643214046638654,3.8533594594448926,2.7394713457769537,2.2375771283517794,1.5303297679203398,8.29044816256036,7.960040866662207,3.8191969376610952,2.796286938142582,2.961389245131445,3.533861731847327,2.3297624209988377,4.733361093574335,0.6444295137625153,4.392715554089492,4.152336702489638,2.261429709572553,3.399783048631218,2.796286938142582,2.8500531088985173,9.117896081584904,7.039248345631012,6.827268389341062,1.1105737970673533,3.2271137993866117,7.78282810464001,2.796286938142582,2.7823843381549134,0.0,2.7247499803246233,5.7995985870611015,6.022820277595819,4.408538323448799,2.3297624209988377,0.0,7.133990047557377,6.00679887306461,2.7344908784326902,0.857559316810332,5.357618760343116,0.0,7.938563275237535,5.882157364707641,2.4730955053613055,5.329903239107223,0.0,0.37328620974392923,0.20391995634645052,6.0803312851835996,6.331179733962985,0.37328620974392923,3.3612951029625027,3.8485505824725723,3.22917460985566,0.9491837751761806,2.10892752573622,0.0,5.7781289897848565,5.033570265378752,1.4272443474488448,1.3123248409197161
TCGA-38-4627,1.0382251386530146,4.268470123416518,6.849444789993689,3.1146258034944014,5.1310046120690815,6.926096053978995,3.2922378045530047,5.998137235125932,5.775842637192619,4.789980310394131,6.376070269747684,3.9871378990376933,3.0476461253559544,4.8908677906856015,5.5719562939976806,5.939365665163997,7.840293305834159,3.6238874968564105,3.5533231556077096,0.5479479830677406,4.384126927513917,2.994291235757587,2.7968056119358606,0.31100789775527765,5.31197862516585,5.3519434378944135,0.31100789775527765,1.7479468962714018,4.3611093864184935,3.521486903086583,4.7402428901814355,6.756287995624059,3.7601646961107393,4.007240453660304,4.7808447000602525,7.835254955263614,3.222022867730069,2.23976243225902,0.31100789775527765,3.012392714447098,5.171159902924579,5.820109636227211,3.9242855126253375,1.1597073880279205,0.0,6.314677842599418,6.467436269305333,0.0,2.5395999907938727,4.558344790396152,2.480304409039088,7.487184898632762,7.224148707315568,2.7699602708860893,5.4322099439374885,0.0,0.7393148614049525,0.0,1.682316557846673,6.973627285632573,3.604230738386214,3.0648151409911852,2.814671921107375,2.5410349035656012,0.5479479830677406,0.5479479830677406,3.098297887109114,6.523626914928693,1.8675624326435556,0.8998767566059003,6.802735816270253
TCGA-38-4628,0.817221495661872,5.026449586390614,6.193633664829108,3.3044147850507106,6.680638846215222,4.13219895777307,5.654066882410268,7.844217197677046,3.4142188991806055,6.283697498583434,6.624082491927096,5.190570672897241,2.993895587879033,0.0,1.0634340603184973,3.140866714699549,7.526652938909309,2.6803637781972642,2.1500514384098257,6.748119248757554,4.594889520580471,3.6453088940791685,2.7418975290855916,1.0634340603184973,3.7766041183204107,4.9828049305768465,0.6669058693547183,1.9907605899073741,5.28777701166492,4.6044239075916265,4.638624304247036,6.788801683487828,3.084644758957973,2.221093002138644,2.928475394360089,7.269324227719178,3.6453088940791685,2.1125498621641583,0.2746728178581409,1.900464386136271,6.744032095249453,6.064993780396097,8.338793533911419,0.2746728178581409,0.0,7.655958665290161,7.047395474816051,0.0,4.822392239790102,2.5657259788899545,0.0,7.438265876064526,6.4141505212604635,4.4133121007129565,8.591491431182215,8.608827532687268,0.0,0.0,2.840177274798991,7.799716432361069,0.0,3.3044147850507106,2.4081875793745953,1.8218521095352243,3.393202171647391,0.2746728178581409,0.0,4.461889710830028,3.6857445454184488,0.9479056712434065,4.501227553547493
